id,name,problem_type,description,dataset_size_fit,interpretability,speed,accuracy_profile,pros,cons,preprocessing_needs,tags
ridge_lasso,Ridge/Lasso Regression,regression,"Regularized linear regression variants that penalize large coefficients to reduce overfitting and, in Lasso's case, perform feature selection. Useful when you have many correlated features or want automatic feature elimination in continuous prediction tasks like financial forecasting.",small-to-medium,high,very_fast,"moderate-high, better generalization than plain linear regression on noisy/correlated data",Reduces overfitting via regularization; Lasso performs automatic feature selection; Interpretable; Handles multicollinearity better than plain linear regression,Still assumes linear relationships; Requires tuning regularization strength; Lasso can be unstable with highly correlated features,mandatory scaling; encoding categoricals,regularized; feature_selection; regression; interpretable
gradient_boosting,Gradient Boosting Machine (GBM),classification; regression,"The classic sequential boosting algorithm that builds trees to correct prior errors, predecessor to XGBoost/LightGBM/CatBoost. Good general accuracy booster for tabular data when specialized libraries are unavailable or unnecessary complexity is undesired.",small-to-medium,low-medium,slow-medium,"high, but slower and less optimized than XGBoost/LightGBM","Strong accuracy on tabular data; Feature importance available; Well understood, widely supported",Slower than modern boosting libraries; Easy to overfit without tuning; Sequential nature limits parallelism,encoding categoricals; minimal scaling needed,accuracy_booster; gradient_boosting; tabular_data
mlp_neural_network,Multi-Layer Perceptron (Neural Network),classification; regression,"A feedforward neural network capable of learning complex nonlinear patterns given sufficient data. Best when dataset is large, feature interactions are highly nonlinear, and tree-based models plateau in accuracy, such as complex multi-modal tabular tasks or when combined with embeddings.",medium-to-large,very_low,slow_to_train,"high with enough data, can underperform tree models on small tabular data",Can model highly complex nonlinear relationships; Flexible architecture; Scales well with more data,"Needs more data than tree ensembles to perform well; Black box, hard to interpret; Requires careful tuning (layers, learning rate, regularization); Often outperformed by gradient boosting on small/medium tabular data",mandatory scaling; encoding categoricals; larger dataset preferred,deep_learning; large_data; nonlinear; complex_patterns
kmeans,K-Means Clustering,clustering,"An unsupervised algorithm that partitions data into k clusters by minimizing within-cluster variance. Useful for customer segmentation, anomaly grouping, or exploratory analysis when there's no labeled target, such as grouping patients by symptom similarity.",small-to-large,medium,fast,"n/a - unsupervised, quality measured via silhouette score/inertia",Fast and scalable; Simple to understand and implement; Works well with well-separated spherical clusters,Requires specifying k in advance; Struggles with non-spherical clusters; Sensitive to outliers and scaling,mandatory scaling; outlier treatment recommended,unsupervised; clustering; segmentation; exploratory
dbscan,DBSCAN,clustering,"A density-based clustering algorithm that finds arbitrarily shaped clusters and naturally identifies outliers as noise. Good for anomaly detection and clustering tasks where cluster count is unknown and shapes are irregular, such as fraud pattern detection.",small-to-medium,medium,medium,"n/a - unsupervised, strong for irregular cluster shapes and noise detection",No need to specify number of clusters; Naturally detects outliers/noise; Handles arbitrarily shaped clusters,Sensitive to epsilon/min_samples parameters; Struggles with varying density clusters; Scales poorly to very large datasets,mandatory scaling; careful parameter tuning,unsupervised; anomaly_detection; density_based; outlier_detection
adaboost,AdaBoost,classification; regression,"An early boosting algorithm that combines weak learners (usually shallow trees) by reweighting misclassified samples. Useful as a lighter-weight boosting option when XGBoost/LightGBM feel like overkill for a smaller dataset, common in face detection and simpler tabular boosting tasks.",small-to-medium,low-medium,fast,"moderate-high, sensitive to noisy data and outliers",Simple boosting concept; Less prone to overfitting than single deep trees; Fast on small/medium data,"Sensitive to noisy data and outliers; Outperformed by XGBoost/LightGBM on most tabular tasks; Sequential, less parallelizable",encoding categoricals; outlier treatment recommended,boosting; lightweight; small_data
elastic_net,Elastic Net Regression,regression,"Combines Ridge and Lasso penalties for regression, balancing feature selection with coefficient shrinkage. Good when you have many correlated features and want both regularization and some automatic feature elimination, such as genomics or high-dimensional financial data.",small-to-medium,high,very_fast,"moderate-high, good generalization on correlated high-dim features",Balances L1 and L2 regularization; Handles correlated features better than pure Lasso; Interpretable,"Two hyperparameters to tune (alpha, l1_ratio); Still assumes linear relationships",mandatory scaling,regularized; regression; high_dimensional
stacking_ensemble,Stacking Ensemble,classification; regression,"Combines predictions from multiple diverse models (e.g. random forest, xgboost, logistic regression) using a meta-model to learn optimal blending. Used when squeezing out maximum accuracy matters more than simplicity or speed, common in competitive ML and high-stakes prediction tasks like medical diagnosis ensembles.",medium-to-large,very_low,slow,"highest achievable, combines strengths of multiple models",Often best raw accuracy; Combines diverse model strengths; Reduces variance of individual models,Complex to build and maintain; Slow training and inference; Very low interpretability; Risk of overfitting meta-model,depends on base models used,ensemble; max_accuracy; competition_grade; complex
pca,Principal Component Analysis (PCA),dimensionality_reduction,"An unsupervised technique that projects high-dimensional data onto fewer orthogonal components capturing maximum variance. Used before modeling when you have too many features relative to samples, or for visualization of high-dimensional data such as gene expression or image features in 2D/3D.",small-to-large,low,fast,"n/a - preprocessing/reduction step, not a predictor",Reduces dimensionality and noise; Speeds up downstream models; Useful for visualization,Components lose direct interpretability; Assumes linear relationships between features; Sensitive to scaling,mandatory scaling before PCA,dimensionality_reduction; unsupervised; preprocessing; visualization
tsne_umap,t-SNE / UMAP,dimensionality_reduction,"Nonlinear dimensionality reduction techniques primarily used for visualizing high-dimensional data in 2D/3D while preserving local structure. Common for exploring clusters in embeddings, gene expression, or customer segmentation visually before applying clustering models.",small-to-medium,low,slow_on_large_data,"n/a - visualization/exploration tool, not predictive",Captures nonlinear structure better than PCA; Excellent for visual cluster exploration,"Not meant for downstream modeling, only visualization; Slow on large datasets; Results sensitive to hyperparameters (perplexity, n_neighbors)",scaling recommended; PCA pre-reduction for very high-dim data,visualization; dimensionality_reduction; exploratory; nonlinear
arima,ARIMA,time_series,"A classical statistical model for forecasting time series data based on autoregression, differencing, and moving averages. Best for univariate time series forecasting with clear trend/seasonality such as sales forecasting, stock-adjacent trend analysis, or demand prediction.",small-to-medium,high,fast,"moderate-high on stationary/seasonal series, weak with complex nonlinear patterns",Well understood statistical foundation; Good for univariate forecasting with trend/seasonality; Interpretable parameters,"Requires stationarity (differencing needed); Struggles with multivariate or highly nonlinear series; Manual parameter selection (p,d,q) needed",stationarity check/differencing; seasonal decomposition,time_series; forecasting; statistical; univariate
prophet,Prophet,time_series,"A forecasting tool designed for business time series with strong seasonal patterns and holiday effects, robust to missing data and outliers. Good for sales/demand forecasting with multiple seasonality (daily, weekly, yearly) without deep statistical tuning.",small-to-medium,medium-high,fast,moderate-high for business time series with seasonality,Handles missing data and outliers well; Easy to incorporate holidays/seasonality; Less manual tuning than ARIMA,Less flexible for non-business time series patterns; Can underperform deep learning models on complex sequences,minimal - handles missing data natively,time_series; forecasting; business_data; seasonality
lstm,LSTM (Recurrent Neural Network),time_series; classification; regression,"A recurrent neural network architecture capable of learning long-term dependencies in sequential data. Used for complex time series forecasting, sequence classification, or any problem with temporal/sequential structure where classical models like ARIMA fall short, given sufficient data.",medium-to-large,very_low,slow_to_train,"high with enough sequential data, overkill on small datasets",Captures long-term temporal dependencies; Flexible for complex sequential patterns; Works for multivariate time series,"Needs substantial data to perform well; Slow to train, GPU often needed; Black box, low interpretability; Many hyperparameters",scaling; sequence windowing; sufficient data volume,deep_learning; time_series; sequential_data; large_data
isolation_forest,Isolation Forest,anomaly_detection,"An ensemble method that isolates anomalies by randomly partitioning data, with anomalies requiring fewer splits to isolate. Effective for outlier and fraud detection in high-dimensional tabular data without needing labeled anomalies.",small-to-large,medium,fast,"n/a - unsupervised anomaly scoring, evaluated via precision/recall on known anomalies if available",Scales well to high dimensions; No need for labeled anomaly data; Fast and efficient,Performance depends on contamination parameter guess; Less effective on very low-dimensional data; Can struggle with clustered anomalies,minimal scaling needed; encoding categoricals,anomaly_detection; unsupervised; fraud_detection; outlier_detection
cox_proportional_hazards,Cox Proportional Hazards (Survival Analysis),survival_analysis,"A statistical model for time-to-event data that estimates how features affect the hazard rate over time, handling censored observations where the event hasn't yet occurred. Ideal for medical datasets predicting time until disease progression, patient survival time, or churn timing rather than just whether an event happens, such as time-to-relapse in heart disease patients or time-to-cancellation in subscription data.",small-to-medium,high,fast,moderate-high for proportional hazard assumption holding data,"Handles censored data natively (patients still alive/active at study end); Interpretable hazard ratios; Standard in medical/clinical research; Models time-to-event, not just binary outcome","Assumes proportional hazards over time (can be violated); Less flexible with complex nonlinear feature interactions; Requires time-to-event + event indicator columns, not just a single target",requires duration column + event/censoring indicator column; scaling recommended; encoding categoricals,survival_analysis; medical_diagnosis; time_to_event; churn_timing; interpretable
random_survival_forest,Random Survival Forest,survival_analysis,"A tree-ensemble extension of random forest adapted for time-to-event data, relaxing the proportional hazards assumption required by Cox models. Useful when survival/time-to-event data has complex nonlinear relationships that Cox Proportional Hazards can't capture well, such as multi-factor patient survival prediction.",small-to-large,medium,medium,"high, more flexible than Cox model on nonlinear survival data",No proportional hazards assumption needed; Handles nonlinear feature interactions; Provides feature importance for survival prediction,Less interpretable than Cox model; Newer/less standardized tooling than classical survival methods; Needs duration + event indicator columns,requires duration column + event/censoring indicator column; encoding categoricals,survival_analysis; medical_diagnosis; nonlinear; time_to_event
gaussian_mixture,Gaussian Mixture Model (GMM),clustering,"A probabilistic clustering method that models data as a mixture of Gaussian distributions, assigning soft cluster membership probabilities rather than hard labels. Useful when clusters overlap or have different shapes/sizes, such as customer segments with fuzzy boundaries or patient subgroup discovery where membership isn't clear-cut.",small-to-medium,medium,medium,"n/a - unsupervised, evaluated via log-likelihood/BIC","Soft clustering - gives probability of cluster membership; Handles elliptical, non-spherical clusters better than KMeans; Principled probabilistic foundation",Requires specifying number of components in advance; Sensitive to initialization; Assumes Gaussian-distributed clusters,mandatory scaling,unsupervised; clustering; soft_clustering; probabilistic
hierarchical_clustering,Hierarchical (Agglomerative) Clustering,clustering,"A clustering method that builds a tree of nested clusters by progressively merging or splitting groups, visualized as a dendrogram. Good for exploratory analysis when the number of clusters is unknown and you want to inspect cluster structure at multiple granularities, such as taxonomy discovery or customer segmentation exploration.",small-to-medium,high,slow_on_large_data,"n/a - unsupervised, visual/structural evaluation via dendrogram",No need to pre-specify number of clusters; Dendrogram gives interpretable multi-level cluster structure; Deterministic results (no random initialization),Computationally expensive on large datasets (O(n^2) or worse); Sensitive to choice of distance/linkage metric; Hard to undo early merge/split decisions,mandatory scaling; distance metric selection,unsupervised; clustering; exploratory; dendrogram
extra_trees,Extra Trees (Extremely Randomized Trees),classification; regression,"An ensemble similar to random forest but with even more randomization in split selection, often training faster with comparable accuracy. A good alternative to random forest when training speed matters slightly more than squeezing out marginal accuracy gains, common in quick tabular baselines.",small-to-large,medium,fast,"high, comparable to random forest, sometimes better on noisy data",Faster training than random forest; Reduces variance further through extra randomization; Robust to noisy features,Slightly less interpretable than random forest; Can underperform random forest on very clean structured data,minimal scaling needed; encoding categoricals,ensemble; fast; tabular_data; random_forest_alternative
one_class_svm,One-Class SVM,anomaly_detection,"An adaptation of SVM for unsupervised anomaly detection, learning a boundary around normal data and flagging points outside it as outliers. Useful for fraud or defect detection when you only have examples of 'normal' behavior and very few or no labeled anomalies.",small-to-medium,low,slow_on_large_data,"n/a - unsupervised, depends heavily on kernel/nu parameter choice",Works without labeled anomalies; Effective for novelty detection (only normal class available); Kernel trick handles nonlinear boundaries,Sensitive to nu and kernel hyperparameters; Scales poorly with dataset size; Less interpretable than Isolation Forest,mandatory scaling,anomaly_detection; unsupervised; novelty_detection; fraud_detection
local_outlier_factor,Local Outlier Factor (LOF),anomaly_detection,"A density-based anomaly detection method that flags points with significantly lower local density than their neighbors. Good for detecting outliers in data with varying density regions, where a global anomaly threshold (like Isolation Forest uses) wouldn't work well, such as detecting unusual transactions within different customer segments.",small-to-medium,medium,medium,"n/a - unsupervised, strong for local/contextual anomalies",Detects local anomalies missed by global methods; Handles varying density regions well; No need for labeled anomaly data,Sensitive to choice of n_neighbors parameter; Less scalable than Isolation Forest on very large data; Harder to interpret anomaly scores across different density regions,mandatory scaling,anomaly_detection; unsupervised; density_based; local_anomalies
bayesian_ridge,Bayesian Ridge Regression,regression,"A probabilistic linear regression variant that estimates uncertainty in predictions alongside point estimates, using Bayesian priors on coefficients. Useful when you need confidence intervals on predictions, not just point forecasts, such as risk-sensitive financial or medical estimates with limited data.",small-to-medium,high,fast,"moderate, similar to ridge but with built-in uncertainty estimates","Provides prediction uncertainty/confidence intervals; Automatically regularizes via priors, less manual tuning than ridge; Robust on small datasets",Still assumes linear relationships; Slower than plain linear regression; Less common tooling/community support,scaling recommended; encoding categoricals,regression; uncertainty_estimation; probabilistic; interpretable
quantile_regression,Quantile Regression,regression,"Estimates conditional quantiles (e.g. median, 90th percentile) of the target instead of just the mean, useful when you care about the full distribution of outcomes rather than a single average prediction. Good for risk estimation, demand forecasting with uncertainty bands, or pricing models needing best/worst case bounds.",small-to-medium,high,fast,"moderate, depends on quantile loss and chosen quantile","Captures full outcome distribution, not just the mean; Robust to outliers compared to mean-based regression; Useful for prediction intervals/risk bounds",Less commonly used/understood than mean regression; Requires choosing quantiles of interest upfront; Multiple models needed for multiple quantiles,scaling recommended; encoding categoricals,regression; uncertainty_estimation; risk_estimation; robust_to_outliers
ordinal_regression,Ordinal Regression,classification,"A classification approach for predicting ordered categorical outcomes (e.g. low/medium/high risk, star ratings 1-5) where the order between classes matters, unlike standard multiclass classification which ignores ordering. Useful for severity staging in medical data, customer satisfaction ratings, or risk-tier classification.",small-to-medium,high,fast,moderate-high when classes are genuinely ordered,Respects natural ordering between classes; More appropriate than plain multiclass for ranked categories; Interpretable thresholds between categories,Only applicable when target has meaningful order; Less commonly implemented in mainstream libraries; Assumes consistent ordering effect across features,scaling recommended; target must be encoded as ordered categories,classification; ordinal_data; severity_staging; ranked_categories
